Series Name,Series Code,Time,Time Code,United States [USA]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,YR2000,3.37685727149935
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2002,YR2002,1.58603162650603
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2004,YR2004,2.67723669309173
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2006,YR2006,3.22594410070407
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2008,YR2008,3.83910029665101
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2010,YR2010,1.64004344238989
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2012,YR2012,2.06933726526059
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,YR2014,1.62222297740821
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2016,YR2016,1.26158320570537
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2018,YR2018,2.44258329692818
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2020,YR2020,1.23358439630637
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/16/2022,,,,
